0, 0, Header, 1, 10, 120
1, 0, Start_track
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, 1, "major"
1, 0, Tempo, 500000
1, 7200, End_track
4, 0, Start_track
4, 0, MIDI_port, 0
4, 0, Note_on_c, 2, 55, 100
4, 180, Note_on_c, 2, 55, 0
4, 180, Note_on_c, 2, 67, 100
4, 240, Note_on_c, 2, 67, 0
4, 240, Note_on_c, 2, 55, 100
4, 300, Note_on_c, 2, 55, 0
4, 300, Note_on_c, 2, 67, 100
4, 420, Note_on_c, 2, 67, 0
4, 420, Note_on_c, 2, 55, 100
4, 660, Note_on_c, 2, 55, 0
4, 660, Note_on_c, 2, 64, 100
4, 720, Note_on_c, 2, 64, 0
4, 720, Note_on_c, 2, 55, 100
4, 780, Note_on_c, 2, 55, 0
4, 780, Note_on_c, 2, 64, 100
4, 840, Note_on_c, 2, 64, 0
4, 840, Note_on_c, 2, 62, 100
4, 960, Note_on_c, 2, 62, 0
4, 960, Note_on_c, 2, 67, 100
4, 1020, Note_on_c, 2, 67, 0
4, 1020, Note_on_c, 2, 62, 100
4, 1080, Note_on_c, 2, 62, 0
4, 1080, Note_on_c, 2, 60, 100
4, 1200, Note_on_c, 2, 60, 0
4, 1200, Note_on_c, 2, 62, 100
4, 1260, Note_on_c, 2, 62, 0
4, 1260, Note_on_c, 2, 60, 100
4, 1320, Note_on_c, 2, 60, 0
4, 1320, Note_on_c, 2, 62, 100
4, 1380, Note_on_c, 2, 62, 0
4, 1380, Note_on_c, 2, 60, 100
4, 1500, Note_on_c, 2, 60, 0
4, 1500, Note_on_c, 2, 62, 100
4, 1680, Note_on_c, 2, 62, 0
4, 1680, Note_on_c, 2, 57, 100
4, 2040, Note_on_c, 2, 57, 0
4, 2040, Note_on_c, 2, 59, 100
4, 2160, Note_on_c, 2, 59, 0
4, 2160, Note_on_c, 2, 57, 100
4, 2220, Note_on_c, 2, 57, 0
4, 2220, Note_on_c, 2, 62, 100
4, 2340, Note_on_c, 2, 62, 0
4, 2340, Note_on_c, 2, 57, 100
4, 2580, Note_on_c, 2, 57, 0
4, 2580, Note_on_c, 2, 69, 100
